year,id,away_team_api_id,match_api_id,stage,season,home_away,defenceDefenderLineClass_opponent,score,opponent_team
2008,10263,9875,537638,1,2008/2009,home,Cover,0,Napoli
2008,10274,9885,539652,10,2008/2009,away,Offside Trap,-2,Juventus
2008,10277,9857,539655,11,2008/2009,away,Offside Trap,0,Bologna
2008,10288,8543,539666,12,2008/2009,home,Offside Trap,1,Lazio
2008,10300,9888,539678,13,2008/2009,away,Cover,3,Lecce
2008,10312,8535,539692,14,2008/2009,home,Offside Trap,1,Fiorentina
2008,10317,8533,539697,15,2008/2009,away,NA,1,Chievo Verona
2008,10331,8529,539711,16,2008/2009,home,Cover,1,Cagliari
2008,10343,8530,539723,17,2008/2009,away,NA,-1,Catania
2009,10349,8564,539729,18,2008/2009,home,Cover,0,Milan
2009,10358,9804,539738,19,2008/2009,away,Cover,1,Torino
2008,10370,8540,539566,2,2008/2009,away,NA,-2,Palermo
2009,10383,9875,539755,20,2008/2009,away,NA,3,Napoli
2009,10387,8540,539759,21,2008/2009,home,Cover,1,Palermo
2009,10399,8690,539771,22,2008/2009,away,NA,0,Reggio Calabria
2009,10409,10233,539781,23,2008/2009,home,Cover,3,Genoa
2009,10417,8524,539789,24,2008/2009,away,Cover,-3,Atalanta
2009,10428,8551,539800,25,2008/2009,home,Cover,1,Siena
2009,10444,8636,539816,26,2008/2009,away,Cover,0,Inter
2009,10448,8600,539820,27,2008/2009,home,NA,0,Udinese
2009,10463,9882,539835,28,2008/2009,away,Cover,0,Sampdoria
2009,10476,9885,539848,29,2008/2009,home,Cover,-3,Juventus
2008,10480,8690,539576,3,2008/2009,home,NA,3,Reggio Calabria
2009,10487,9857,539849,30,2008/2009,home,Cover,1,Bologna
2009,10497,8543,539859,31,2008/2009,away,Cover,-2,Lazio
2009,10510,9888,539872,32,2008/2009,home,Cover,1,Lecce
2009,10522,8535,539884,33,2008/2009,away,Cover,-3,Fiorentina
2009,10530,8533,539892,34,2008/2009,home,Cover,0,Chievo Verona
2009,10544,8529,539906,35,2008/2009,away,Offside Trap,0,Cagliari
2009,10550,8530,539912,36,2008/2009,home,Cover,1,Catania
2009,10559,8564,539921,37,2008/2009,away,NA,1,Milan
2009,10576,9804,539938,38,2008/2009,home,Cover,1,Torino
2008,10583,10233,539589,4,2008/2009,away,Cover,-2,Genoa
2008,10590,8524,539596,5,2008/2009,home,Offside Trap,2,Atalanta
2008,10598,8551,539604,6,2008/2009,away,Cover,-1,Siena
2008,10609,8636,539615,7,2008/2009,home,Cover,-4,Inter
2008,10619,8600,539627,8,2008/2009,away,Cover,-2,Udinese
2009,10628,9882,539636,9,2008/2009,home,NA,2,Sampdoria
2009,10639,10233,704355,1,2009/2010,away,NA,-1,Genoa
2009,10656,8600,704540,10,2009/2010,away,Offside Trap,-1,Udinese
2009,10663,9857,704547,11,2009/2010,home,Cover,1,Bologna
2009,10673,8636,704557,12,2009/2010,away,Cover,0,Inter
2009,10684,9976,704568,13,2009/2010,home,Offside Trap,2,Bari
2009,10687,8524,704571,14,2009/2010,away,Cover,1,Atalanta
2009,10705,8543,704606,15,2009/2010,home,Cover,1,Lazio
2009,10715,9882,704624,16,2009/2010,away,Cover,0,Sampdoria
2009,10725,10167,704649,17,2009/2010,home,Cover,2,Parma
2010,10729,8529,704657,18,2009/2010,away,Cover,0,Cagliari
2010,10745,8533,704702,19,2009/2010,home,Cover,1,Chievo Verona
2009,10755,9885,704388,2,2009/2010,home,Cover,-2,Juventus
2010,10759,10233,704717,20,2009/2010,home,NA,3,Genoa
2010,10775,9885,704772,21,2009/2010,away,Offside Trap,1,Juventus
2010,10785,8551,704802,22,2009/2010,home,NA,1,Siena
2010,10795,8535,704912,23,2009/2010,away,Cover,1,Fiorentina
2010,10804,8540,705057,24,2009/2010,home,NA,3,Palermo
2010,10807,8530,705119,25,2009/2010,home,Cover,1,Catania
2010,10824,9875,705260,26,2009/2010,away,NA,0,Napoli
2010,10833,8564,705290,27,2009/2010,home,Cover,0,Milan
2010,10844,8537,705336,28,2009/2010,away,Cover,0,Livorno
2010,10856,8600,705370,29,2009/2010,home,Cover,2,Udinese
2009,10865,8551,704405,3,2009/2010,away,Offside Trap,1,Siena
2010,10874,9857,705400,30,2009/2010,away,Cover,2,Bologna
2010,10883,8636,705608,31,2009/2010,home,Cover,1,Inter
2010,10894,9976,705427,32,2009/2010,away,Cover,1,Bari
2010,10897,8524,705374,33,2009/2010,home,Cover,1,Atalanta
2010,10915,8543,705362,34,2009/2010,away,Cover,1,Lazio
2010,10925,9882,705312,35,2009/2010,home,NA,-1,Sampdoria
2010,10935,10167,705263,36,2009/2010,away,Offside Trap,1,Parma
2010,10939,8529,705066,37,2009/2010,home,Offside Trap,1,Cagliari
2010,10955,8533,704894,38,2009/2010,away,Offside Trap,2,Chievo Verona
2009,10965,8535,704431,4,2009/2010,home,NA,2,Fiorentina
2009,10974,8540,704457,5,2009/2010,away,Offside Trap,0,Palermo
2009,10977,8530,704466,6,2009/2010,away,Cover,0,Catania
2009,10994,9875,704504,7,2009/2010,home,Offside Trap,1,Napoli
2009,11003,8564,704517,8,2009/2010,away,NA,-1,Milan
2009,11014,8537,704528,9,2009/2010,home,Cover,-1,Livorno
2010,11021,9880,888164,1,2010/2011,home,Cover,0,Cesena
2010,11031,8543,888254,10,2010/2011,away,Cover,2,Lazio
2010,11040,8535,888263,11,2010/2011,home,Cover,1,Fiorentina
2010,11049,9885,888272,12,2010/2011,away,NA,0,Juventus
2010,11064,8600,888287,13,2010/2011,home,Cover,2,Udinese
2010,11072,8540,888295,14,2010/2011,away,NA,-2,Palermo
2010,11081,8533,888304,15,2010/2011,away,Offside Trap,0,Chievo Verona
2010,11096,9976,888319,16,2010/2011,home,NA,1,Bari
2010,11106,8564,888329,17,2010/2011,away,Cover,1,Milan
2011,11115,8530,888338,18,2010/2011,home,Cover,2,Catania
2011,11120,9882,888343,19,2010/2011,away,Cover,-1,Sampdoria
2010,11135,8529,888178,2,2010/2011,away,Cover,-4,Cagliari
2011,11143,9880,888356,20,2010/2011,away,Cover,1,Cesena
2011,11156,8529,888369,21,2010/2011,home,Cover,3,Cagliari
2011,11158,9857,888371,22,2010/2011,away,Cover,1,Bologna
2011,11169,9858,888382,23,2010/2011,home,NA,0,Brescia
2011,11180,8636,888393,24,2010/2011,away,Cover,-2,Inter
2011,11191,9875,888404,25,2010/2011,home,Cover,-2,Napoli
2011,11202,10233,888415,26,2010/2011,away,NA,-1,Genoa
